DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M063,The STAR Academy - P.S.63,2017-18,203,26,40,29,36,22,23,27,0,0,0,0,0,0,0,100,0.493,103,0.507,6,0.03,37,0.182,128,0.631,8,0.039,24,0.118,67,0.33,2,0.01,166,81.8%,76.2%
01M063,The STAR Academy - P.S.63,2018-19,230,23,49,41,28,40,25,24,0,0,0,0,0,0,0,104,0.452,126,0.548,4,0.017,45,0.196,150,0.652,9,0.039,22,0.096,77,0.335,4,0.017,177,77.0%,73.7%
01M063,The STAR Academy - P.S.63,2019-20,229,26,40,34,38,30,32,29,0,0,0,0,0,0,0,104,0.454,125,0.546,9,0.039,39,0.17,157,0.686,7,0.031,17,0.074,69,0.301,5,0.022,177,77.3%,78.2%
01M064,P.S. 064 Robert Simon,2015-16,258,20,36,39,37,35,43,48,0,0,0,0,0,0,0,105,0.407,153,0.593,19,0.074,49,0.19,169,0.655,2,0.008,19,0.074,85,0.329,15,0.058,240,93.0%,82.2%
01M064,P.S. 064 Robert Simon,2016-17,247,21,46,34,37,33,32,44,0,0,0,0,0,0,0,104,0.421,143,0.579,13,0.053,48,0.194,167,0.676,3,0.012,16,0.065,81,0.328,10,0.04,Above 95%,Above 95%,82.4%
01M064,P.S. 064 Robert Simon,2017-18,245,35,27,44,37,30,36,36,0,0,0,0,0,0,0,101,0.412,144,0.588,11,0.045,51,0.208,167,0.682,3,0.012,13,0.053,73,0.298,5,0.02,226,92.2%,88.2%
01M064,P.S. 064 Robert Simon,2018-19,223,19,42,32,40,29,28,33,0,0,0,0,0,0,0,93,0.417,130,0.583,7,0.031,41,0.184,159,0.713,4,0.018,12,0.054,64,0.287,6,0.027,193,86.5%,89.5%
01M364,Earth School,2017-18,355,35,62,53,47,55,51,52,0,0,0,0,0,0,0,161,0.454,194,0.546,24,0.068,40,0.113,139,0.392,31,0.087,121,0.341,103,0.29,21,0.059,194,54.6%,55.4%
01M064,P.S. 064 Robert Simon,2019-20,236,34,23,44,30,41,31,33,0,0,0,0,0,0,0,107,0.453,129,0.547,7,0.03,40,0.169,174,0.737,5,0.021,10,0.042,63,0.267,4,0.017,214,90.7%,91.1%
01M110,P.S. 110 Florence Nightingale,2015-16,394,29,47,50,60,88,54,66,0,0,0,0,0,0,0,188,0.477,206,0.523,63,0.16,39,0.099,170,0.431,16,0.041,106,0.269,63,0.16,5,0.013,213,54.1%,47.6%
01M110,P.S. 110 Florence Nightingale,2016-17,383,32,62,54,50,59,76,50,0,0,0,0,0,0,0,179,0.467,204,0.533,70,0.183,37,0.097,161,0.42,10,0.026,105,0.274,55,0.144,20,0.052,221,57.7%,48.5%
01M110,P.S. 110 Florence Nightingale,2017-18,379,30,64,52,55,48,57,73,0,0,0,0,0,0,0,166,0.438,213,0.562,64,0.169,37,0.098,168,0.443,11,0.029,99,0.261,48,0.127,14,0.037,237,62.5%,58.0%
01M110,P.S. 110 Florence Nightingale,2018-19,372,34,59,66,59,52,45,57,0,0,0,0,0,0,0,168,0.452,204,0.548,59,0.159,37,0.099,168,0.452,12,0.032,96,0.258,45,0.121,8,0.022,211,56.7%,59.4%
01M110,P.S. 110 Florence Nightingale,2019-20,396,35,68,63,74,52,54,50,0,0,0,0,0,0,0,173,0.437,223,0.563,64,0.162,38,0.096,180,0.455,13,0.033,101,0.255,47,0.119,10,0.025,240,60.6%,62.1%
01M134,P.S. 134 Henrietta Szold,2015-16,263,15,39,33,47,40,51,38,0,0,0,0,0,0,0,125,0.475,138,0.525,56,0.213,53,0.202,145,0.551,2,0.008,7,0.027,98,0.373,31,0.118,244,92.8%,81.7%
01M134,P.S. 134 Henrietta Szold,2016-17,354,22,29,58,51,61,59,74,0,0,0,0,0,0,0,171,0.483,183,0.517,55,0.155,71,0.201,213,0.602,5,0.014,10,0.028,143,0.404,33,0.093,319,90.1%,82.8%
01M134,P.S. 134 Henrietta Szold,2017-18,297,20,36,27,47,52,57,58,0,0,0,0,0,0,0,131,0.441,166,0.559,33,0.111,64,0.215,182,0.613,7,0.024,11,0.037,124,0.418,26,0.088,273,91.9%,90.1%
01M134,P.S. 134 Henrietta Szold,2018-19,281,14,43,37,35,45,53,54,0,0,0,0,0,0,0,126,0.448,155,0.552,27,0.096,73,0.26,169,0.601,3,0.011,9,0.032,121,0.431,24,0.085,263,93.6%,91.6%
01M134,P.S. 134 Henrietta Szold,2019-20,245,10,28,43,34,35,45,50,0,0,0,0,0,0,0,116,0.473,129,0.527,23,0.094,65,0.265,146,0.596,5,0.02,6,0.024,103,0.42,18,0.073,232,94.7%,94.5%
01M140,P.S. 140 Nathan Straus,2015-16,376,13,26,25,29,30,34,29,69,49,72,0,0,0,0,188,0.5,188,0.5,20,0.053,47,0.125,292,0.777,4,0.011,13,0.035,132,0.351,54,0.144,296,78.7%,85.5%
01M140,P.S. 140 Nathan Straus,2016-17,382,18,31,28,25,28,32,34,64,66,56,0,0,0,0,182,0.476,200,0.524,18,0.047,45,0.118,304,0.796,4,0.01,11,0.029,124,0.325,45,0.118,287,75.1%,83.6%
01M140,P.S. 140 Nathan Straus,2017-18,371,18,28,29,24,24,28,29,60,65,66,0,0,0,0,182,0.491,189,0.509,21,0.057,46,0.124,292,0.787,2,0.005,10,0.027,122,0.329,36,0.097,328,88.4%,91.3%
01M140,P.S. 140 Nathan Straus,2018-19,385,12,30,32,32,26,25,29,64,67,68,0,0,0,0,188,0.488,197,0.512,17,0.044,54,0.14,305,0.792,0,0,9,0.023,145,0.377,43,0.112,333,86.5%,90.0%
01M140,P.S. 140 Nathan Straus,2019-20,372,8,26,27,31,27,30,30,67,61,65,0,0,0,0,175,0.47,197,0.53,11,0.03,60,0.161,293,0.788,1,0.003,7,0.019,146,0.392,27,0.073,330,88.7%,92.9%
01M142,P.S. 142 Amalia Castro,2015-16,354,22,56,56,52,42,67,59,0,0,0,0,0,0,0,160,0.452,194,0.548,23,0.065,40,0.113,277,0.782,6,0.017,8,0.023,132,0.373,30,0.085,Above 95%,Above 95%,85.0%
01M142,P.S. 142 Amalia Castro,2016-17,356,34,56,56,47,51,44,68,0,0,0,0,0,0,0,162,0.455,194,0.545,17,0.048,42,0.118,285,0.801,8,0.022,4,0.011,121,0.34,32,0.09,Above 95%,Above 95%,85.7%
01M142,P.S. 142 Amalia Castro,2017-18,340,32,68,56,49,44,50,41,0,0,0,0,0,0,0,152,0.447,188,0.553,8,0.024,43,0.126,281,0.826,7,0.021,1,0.003,127,0.374,27,0.079,Above 95%,Above 95%,91.1%
01M142,P.S. 142 Amalia Castro,2018-19,353,51,48,55,49,51,44,55,0,0,0,0,0,0,0,153,0.433,200,0.567,13,0.037,55,0.156,273,0.773,7,0.02,5,0.014,130,0.368,26,0.074,Above 95%,Above 95%,91.2%
01M142,P.S. 142 Amalia Castro,2019-20,329,51,56,43,48,44,45,42,0,0,0,0,0,0,0,147,0.447,182,0.553,4,0.012,54,0.164,253,0.769,10,0.03,8,0.024,109,0.331,22,0.067,Above 95%,Above 95%,89.6%
01M184,P.S. 184m Shuang Wen,2015-16,663,36,63,73,77,61,63,77,84,78,51,0,0,0,0,331,0.499,332,0.501,471,0.71,24,0.036,77,0.116,34,0.051,57,0.086,121,0.183,115,0.173,468,70.6%,53.7%
01M184,P.S. 184m Shuang Wen,2016-17,672,36,71,59,68,65,56,63,89,86,79,0,0,0,0,330,0.491,342,0.509,468,0.696,30,0.045,81,0.121,36,0.054,57,0.085,125,0.186,109,0.162,461,68.6%,52.5%
01M184,P.S. 184m Shuang Wen,2017-18,684,35,72,69,54,72,65,53,94,83,87,0,0,0,0,341,0.499,343,0.501,475,0.694,25,0.037,92,0.135,42,0.061,50,0.073,113,0.165,103,0.151,465,68.0%,65.3%
01M184,P.S. 184m Shuang Wen,2018-19,678,36,63,64,64,50,65,62,101,88,85,0,0,0,0,337,0.497,341,0.503,468,0.69,27,0.04,89,0.131,43,0.063,51,0.075,109,0.161,99,0.146,461,68.0%,67.2%
01M184,P.S. 184m Shuang Wen,2019-20,707,36,76,58,63,62,51,62,101,107,91,0,0,0,0,355,0.502,352,0.498,498,0.704,24,0.034,84,0.119,49,0.069,52,0.074,117,0.165,99,0.14,469,66.3%,67.2%
01M188,P.S. 188 The Island School,2015-16,489,31,47,48,50,43,43,54,52,60,61,0,0,0,0,216,0.442,273,0.558,9,0.018,145,0.297,312,0.638,2,0.004,21,0.043,146,0.299,77,0.157,424,86.7%,92.1%
01M188,P.S. 188 The Island School,2016-17,445,29,35,41,47,48,49,34,52,52,58,0,0,0,0,195,0.438,250,0.562,10,0.022,141,0.317,278,0.625,1,0.002,15,0.034,138,0.31,64,0.144,382,85.8%,92.7%
01M188,P.S. 188 The Island School,2017-18,433,19,37,40,43,43,47,42,47,55,60,0,0,0,0,185,0.427,248,0.573,8,0.018,127,0.293,286,0.661,0,0,12,0.028,135,0.312,69,0.159,399,92.1%,Above 95%
01M188,P.S. 188 The Island School,2018-19,407,16,24,37,32,49,39,55,48,54,53,0,0,0,0,181,0.445,226,0.555,6,0.015,134,0.329,249,0.612,3,0.007,15,0.037,148,0.364,30,0.074,Above 95%,Above 95%,Above 95%
01M188,P.S. 188 The Island School,2019-20,398,13,29,24,50,33,50,39,55,48,57,0,0,0,0,181,0.455,217,0.545,11,0.028,125,0.314,250,0.628,3,0.008,9,0.023,135,0.339,39,0.098,Above 95%,Above 95%,Above 95%
01M292,Orchard Collegiate Academy,2015-16,185,0,0,0,0,0,0,0,0,14,11,42,49,37,32,68,0.368,117,0.632,22,0.119,49,0.265,106,0.573,2,0.011,6,0.032,64,0.346,26,0.141,163,88.1%,87.3%
01M292,Orchard Collegiate Academy,2016-17,140,0,0,0,0,0,0,0,0,0,0,40,35,31,34,53,0.379,87,0.621,21,0.15,34,0.243,77,0.55,1,0.007,7,0.05,38,0.271,20,0.143,128,91.4%,84.7%
01M292,Orchard Collegiate Academy,2017-18,171,0,0,0,0,0,0,0,0,0,0,72,40,30,29,81,0.474,90,0.526,19,0.111,43,0.251,97,0.567,4,0.023,8,0.047,41,0.24,23,0.135,157,91.8%,89.9%
01M292,Orchard Collegiate Academy,2018-19,197,0,0,0,0,0,0,0,0,0,0,67,70,35,25,91,0.462,106,0.538,19,0.096,53,0.269,112,0.569,7,0.036,6,0.03,57,0.289,23,0.117,163,82.7%,87.5%
01M292,Orchard Collegiate Academy,2019-20,226,0,0,0,0,0,0,0,0,0,0,65,64,65,32,101,0.447,125,0.553,27,0.119,58,0.257,127,0.562,8,0.035,6,0.027,65,0.288,21,0.093,188,83.2%,87.6%
01M315,The East Village Community School,2015-16,299,36,49,50,47,45,45,27,0,0,0,0,0,0,0,144,0.482,155,0.518,28,0.094,26,0.087,62,0.207,19,0.064,164,0.548,59,0.197,2,0.007,66,22.1%,26.7%
01M315,The East Village Community School,2016-17,315,36,48,49,49,44,47,42,0,0,0,0,0,0,0,155,0.492,160,0.508,32,0.102,17,0.054,61,0.194,21,0.067,184,0.584,59,0.187,4,0.013,71,22.5%,26.0%
01M315,The East Village Community School,2017-18,318,36,46,50,50,48,40,48,0,0,0,0,0,0,0,161,0.506,157,0.494,32,0.101,17,0.053,64,0.201,22,0.069,183,0.575,56,0.176,4,0.013,86,27.0%,36.9%
01M315,The East Village Community School,2018-19,333,36,50,49,50,50,53,45,0,0,0,0,0,0,0,174,0.523,159,0.477,32,0.096,15,0.045,77,0.231,18,0.054,191,0.574,54,0.162,5,0.015,94,28.2%,34.9%
01M315,The East Village Community School,2019-20,330,36,50,47,45,52,46,54,0,0,0,0,0,0,0,164,0.497,166,0.503,32,0.097,15,0.045,76,0.23,19,0.058,188,0.57,57,0.173,3,0.009,93,28.2%,36.0%
01M332,University Neighborhood Middle School,2015-16,110,0,0,0,0,0,0,0,39,35,36,0,0,0,0,49,0.445,61,0.555,6,0.055,30,0.273,69,0.627,1,0.009,4,0.036,43,0.391,16,0.145,96,87.3%,73.2%
01M332,University Neighborhood Middle School,2016-17,234,0,0,0,0,0,0,0,67,77,90,0,0,0,0,102,0.436,132,0.564,22,0.094,67,0.286,133,0.568,1,0.004,11,0.047,109,0.466,23,0.098,205,87.6%,80.1%
01M332,University Neighborhood Middle School,2017-18,203,0,0,0,0,0,0,0,69,65,69,0,0,0,0,88,0.433,115,0.567,18,0.089,47,0.232,128,0.631,2,0.01,8,0.039,89,0.438,11,0.054,180,88.7%,84.8%
01M332,University Neighborhood Middle School,2018-19,209,0,0,0,0,0,0,0,69,77,63,0,0,0,0,90,0.431,119,0.569,18,0.086,41,0.196,131,0.627,2,0.01,17,0.081,94,0.45,7,0.033,176,84.2%,81.6%
01M332,University Neighborhood Middle School,2019-20,218,0,0,0,0,0,0,0,71,72,75,0,0,0,0,82,0.376,136,0.624,16,0.073,43,0.197,137,0.628,2,0.009,20,0.092,90,0.413,11,0.05,181,83.0%,81.3%
01M361,The Children's Workshop School,2015-16,267,33,47,46,39,33,26,43,0,0,0,0,0,0,0,129,0.483,138,0.517,27,0.101,28,0.105,104,0.39,6,0.022,102,0.382,65,0.243,18,0.067,128,47.9%,42.3%
01M361,The Children's Workshop School,2016-17,295,35,59,55,48,35,35,28,0,0,0,0,0,0,0,140,0.475,155,0.525,30,0.102,29,0.098,114,0.386,14,0.047,108,0.366,67,0.227,12,0.041,142,48.1%,45.6%
01M361,The Children's Workshop School,2017-18,315,36,57,61,48,46,35,32,0,0,0,0,0,0,0,146,0.463,169,0.537,31,0.098,29,0.092,124,0.394,20,0.063,111,0.352,73,0.232,9,0.029,144,45.7%,50.5%
01M361,The Children's Workshop School,2018-19,320,36,54,47,55,43,48,37,0,0,0,0,0,0,0,149,0.466,171,0.534,31,0.097,33,0.103,127,0.397,17,0.053,112,0.35,81,0.253,11,0.034,157,49.1%,53.4%
01M361,The Children's Workshop School,2019-20,336,38,64,47,45,52,45,45,0,0,0,0,0,0,0,156,0.464,180,0.536,33,0.098,35,0.104,130,0.387,22,0.065,116,0.345,83,0.247,13,0.039,158,47.0%,53.4%
01M363,Neighborhood School,2015-16,313,16,58,62,38,44,39,56,0,0,0,0,0,0,0,143,0.457,170,0.543,17,0.054,40,0.128,107,0.342,8,0.026,141,0.45,77,0.246,11,0.035,122,39.0%,39.7%
01M363,Neighborhood School,2016-17,304,18,58,51,56,44,43,34,0,0,0,0,0,0,0,148,0.487,156,0.513,15,0.049,33,0.109,105,0.345,9,0.03,142,0.467,69,0.227,10,0.033,121,39.8%,39.9%
01M363,Neighborhood School,2017-18,304,18,56,50,49,51,43,37,0,0,0,0,0,0,0,149,0.49,155,0.51,19,0.063,28,0.092,106,0.349,11,0.036,140,0.461,69,0.227,10,0.033,133,43.8%,47.8%
01M363,Neighborhood School,2018-19,306,36,39,59,40,48,44,40,0,0,0,0,0,0,0,145,0.474,161,0.526,21,0.069,27,0.088,115,0.376,14,0.046,129,0.422,72,0.235,4,0.013,126,41.2%,46.0%
01M363,Neighborhood School,2019-20,306,36,50,41,55,42,43,39,0,0,0,0,0,0,0,154,0.503,152,0.497,21,0.069,31,0.101,106,0.346,26,0.085,122,0.399,67,0.219,4,0.013,125,40.8%,45.4%
01M364,Earth School,2015-16,340,36,50,53,48,49,48,56,0,0,0,0,0,0,0,163,0.479,177,0.521,25,0.074,43,0.126,120,0.353,25,0.074,127,0.374,85,0.25,19,0.056,157,46.2%,41.4%
01M364,Earth School,2016-17,331,36,48,48,56,48,49,46,0,0,0,0,0,0,0,163,0.492,168,0.508,20,0.06,43,0.13,113,0.341,28,0.085,127,0.384,85,0.257,17,0.051,164,49.5%,44.8%
01M364,Earth School,2018-19,350,36,61,54,48,48,57,46,0,0,0,0,0,0,0,157,0.449,193,0.551,25,0.071,38,0.109,141,0.403,28,0.08,118,0.337,102,0.291,21,0.06,198,56.6%,57.9%
01M364,Earth School,2019-20,344,31,61,54,51,49,45,53,0,0,0,0,0,0,0,147,0.427,197,0.573,18,0.052,40,0.116,136,0.395,31,0.09,119,0.346,96,0.279,12,0.035,196,57.0%,56.6%
01M378,School for Global Leaders,2015-16,264,0,0,0,0,0,0,0,100,84,80,0,0,0,0,117,0.443,147,0.557,40,0.152,59,0.223,154,0.583,6,0.023,5,0.019,88,0.333,20,0.076,183,69.3%,75.8%
01M378,School for Global Leaders,2016-17,283,0,0,0,0,0,0,0,101,97,85,0,0,0,0,126,0.445,157,0.555,41,0.145,77,0.272,156,0.551,4,0.014,5,0.018,103,0.364,29,0.102,195,68.9%,74.6%
01M378,School for Global Leaders,2017-18,256,0,0,0,0,0,0,0,70,90,96,0,0,0,0,111,0.434,145,0.566,35,0.137,70,0.273,145,0.566,2,0.008,4,0.016,100,0.391,23,0.09,212,82.8%,85.3%
01M378,School for Global Leaders,2018-19,250,0,0,0,0,0,0,0,63,86,101,0,0,0,0,103,0.412,147,0.588,32,0.128,59,0.236,141,0.564,8,0.032,10,0.04,97,0.388,25,0.1,213,85.2%,84.9%
01M378,School for Global Leaders,2019-20,204,0,0,0,0,0,0,0,47,67,90,0,0,0,0,89,0.436,115,0.564,17,0.083,50,0.245,121,0.593,6,0.029,10,0.049,83,0.407,17,0.083,172,84.3%,84.7%
01M448,University Neighborhood High School,2015-16,343,0,0,0,0,0,0,0,0,0,0,120,105,69,49,148,0.431,195,0.569,96,0.28,93,0.271,142,0.414,2,0.006,10,0.029,68,0.198,47,0.137,303,88.3%,76.6%
01M448,University Neighborhood High School,2016-17,392,0,0,0,0,0,0,0,0,0,0,136,111,78,67,176,0.449,216,0.551,119,0.304,94,0.24,166,0.423,2,0.005,11,0.028,58,0.148,35,0.089,351,89.5%,75.3%
01M448,University Neighborhood High School,2017-18,465,0,0,0,0,0,0,0,0,0,0,160,130,94,81,198,0.426,267,0.574,141,0.303,100,0.215,206,0.443,3,0.006,15,0.032,80,0.172,49,0.105,415,89.2%,82.9%
01M448,University Neighborhood High School,2018-19,483,0,0,0,0,0,0,0,0,0,0,131,139,120,93,230,0.476,253,0.524,178,0.369,94,0.195,184,0.381,5,0.01,22,0.046,82,0.17,71,0.147,421,87.2%,82.8%
01M448,University Neighborhood High School,2019-20,492,0,0,0,0,0,0,0,0,0,0,130,122,123,117,233,0.474,259,0.526,187,0.38,81,0.165,198,0.402,4,0.008,22,0.045,80,0.163,69,0.14,431,87.6%,84.5%
01M450,East Side Community School,2015-16,677,0,0,0,0,0,0,0,95,103,93,103,96,97,90,334,0.493,343,0.507,73,0.108,139,0.205,361,0.533,23,0.034,81,0.12,191,0.282,6,0.009,471,69.6%,58.7%
01M450,East Side Community School,2016-17,699,0,0,0,0,0,0,0,108,91,107,107,96,101,89,335,0.479,364,0.521,78,0.112,126,0.18,381,0.545,21,0.03,93,0.133,200,0.286,4,0.006,475,68.0%,57.5%
01M450,East Side Community School,2017-18,683,0,0,0,0,0,0,0,99,105,94,95,100,93,97,317,0.464,366,0.536,81,0.119,113,0.165,367,0.537,22,0.032,100,0.146,182,0.266,6,0.009,447,65.4%,62.9%
01M450,East Side Community School,2018-19,680,0,0,0,0,0,0,0,101,101,108,96,93,91,90,323,0.475,357,0.525,80,0.118,113,0.166,366,0.538,17,0.025,104,0.153,187,0.275,9,0.013,456,67.1%,65.4%
01M450,East Side Community School,2019-20,680,0,0,0,0,0,0,0,104,105,107,105,91,79,89,324,0.476,356,0.524,66,0.097,104,0.153,373,0.549,13,0.019,124,0.182,181,0.266,10,0.015,445,65.4%,64.9%
01M458,Forsyth Satellite Academy,2015-16,215,0,0,0,0,0,0,0,0,0,0,17,85,50,63,126,0.586,89,0.414,3,0.014,79,0.367,129,0.6,1,0.005,3,0.014,45,0.209,15,0.07,153,71.2%,72.3%
01M458,Forsyth Satellite Academy,2016-17,212,0,0,0,0,0,0,0,0,0,0,11,53,74,74,123,0.58,89,0.42,1,0.005,76,0.358,127,0.599,1,0.005,7,0.033,45,0.212,11,0.052,145,68.4%,64.9%
01M458,Forsyth Satellite Academy,2017-18,203,0,0,0,0,0,0,0,0,0,0,16,65,79,43,117,0.576,86,0.424,1,0.005,70,0.345,121,0.596,2,0.01,9,0.044,57,0.281,16,0.079,176,86.7%,85.0%
01M458,Forsyth Satellite Academy,2018-19,194,0,0,0,0,0,0,0,0,0,0,19,46,77,52,103,0.531,91,0.469,0,0,84,0.433,98,0.505,4,0.021,8,0.041,64,0.33,11,0.057,163,84.0%,85.4%
01M458,Forsyth Satellite Academy,2019-20,181,0,0,0,0,0,0,0,0,0,0,11,39,43,88,91,0.503,90,0.497,5,0.028,73,0.403,94,0.519,2,0.011,7,0.039,65,0.359,13,0.072,158,87.3%,89.5%
01M509,Marta Valle High School,2015-16,272,0,0,0,0,0,0,0,0,0,0,81,83,50,58,166,0.61,106,0.39,9,0.033,115,0.423,142,0.522,1,0.004,5,0.018,76,0.279,22,0.081,245,90.1%,78.9%
01M509,Marta Valle High School,2016-17,204,0,0,0,0,0,0,0,0,0,0,51,58,47,48,126,0.618,78,0.382,6,0.029,72,0.353,121,0.593,1,0.005,4,0.02,60,0.294,18,0.088,186,91.2%,75.9%
01M509,Marta Valle High School,2017-18,148,0,0,0,0,0,0,0,0,0,0,39,33,38,38,88,0.595,60,0.405,7,0.047,47,0.318,88,0.595,2,0.014,4,0.027,38,0.257,10,0.068,138,93.2%,82.1%
01M509,Marta Valle High School,2018-19,127,0,0,0,0,0,0,0,0,0,0,36,32,25,34,77,0.606,50,0.394,9,0.071,47,0.37,65,0.512,3,0.024,3,0.024,35,0.276,8,0.063,113,89.0%,81.4%
